State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Iowa,2019,Iowa2019,"34,968.00","6,244.28",14.49,3.33,3.58,6.71,17.08,33.20,8.20,23.70,82.95,22.11,26.89,5.48,72.89,156.14,51.00,53.00,2.52,13.50,9.00,12.10,79.41,9.70,5.58,9.98,28.20,60071,23.15,17.10,3.78,0.53,2.72,0.13,6.16,85.28,50.23,35.98
Kansas,2019,Kansas2019,"34,357.00","7,023.89",16.07,3.57,3.72,7.10,17.38,33.20,6.80,24.80,80.12,18.68,21.88,10.13,77.24,197.39,45.00,46.00,3.36,14.80,8.10,13.10,78.52,10.10,8.27,11.35,30.88,58150,24.25,15.88,5.75,1.20,3.13,0.12,12.06,75.66,50.18,25.80
Kentucky,2019,Kentucky2019,"74,299.00","9,717.81",23.87,5.05,5.00,8.79,24.59,33.80,7.00,28.60,71.09,17.25,26.08,6.37,65.65,225.85,40.00,45.00,4.33,22.30,10.70,13.91,75.43,12.60,5.58,32.19,39.07,50189,22.58,16.35,8.18,0.30,1.63,0.09,3.85,84.29,50.73,41.62
Louisiana,2019,Louisiana2019,"71,605.00","9,535.22",21.97,4.81,5.14,10.70,23.05,35.40,5.20,29.20,75.03,19.59,33.06,9.63,66.84,297.43,41.00,42.00,4.88,26.50,9.40,15.90,76.07,12.80,9.53,23.13,38.70,48021,23.52,15.42,32.26,0.78,1.81,0.06,5.23,58.57,51.19,26.81
Maine,2019,Maine2019,"18,065.00","7,009.91",14.99,3.99,4.45,7.09,17.30,29.90,8.10,21.60,69.97,20.22,36.72,10.25,111.39,476.39,46.00,45.00,3.37,14.80,7.35,15.00,78.68,10.20,3.83,28.01,33.19,55579,18.71,20.62,1.55,0.72,1.25,0.03,1.71,93.15,51.03,61.34
Maryland,2019,Maryland2019,"70,250.00","7,211.09",14.90,3.39,3.78,8.67,13.85,31.00,9.00,22.40,92.57,16.63,28.86,7.03,87.67,258.39,41.00,50.00,3.92,12.10,9.60,16.50,79.14,10.70,3.39,36.52,35.57,83076,22.18,15.41,29.81,0.60,6.71,0.11,10.40,50.49,51.53,12.80
Massachusetts,2019,Massachusetts2019,"67,991.00","5,705.96",14.40,3.54,3.95,7.53,13.67,24.70,9.30,21.30,94.47,21.35,29.97,3.28,103.28,629.27,54.00,53.00,3.34,12.40,7.70,17.74,80.51,8.90,4.09,32.25,33.15,79817,19.80,16.50,7.25,0.49,7.14,0.11,12.27,71.40,51.46,8.03
Michigan,2019,Michigan2019,"131,680.00","7,625.53",17.38,4.31,4.39,8.47,19.30,32.00,7.10,23.40,85.50,19.61,29.00,6.12,78.30,268.05,44.00,46.00,4.15,19.30,8.40,15.27,78.04,10.80,6.29,25.54,37.00,56640,21.66,17.17,13.76,0.74,3.37,0.04,5.19,74.89,50.76,25.43
Minnesota,2019,Minnesota2019,"51,060.00","5,278.51",12.13,2.93,3.10,6.59,14.51,27.90,8.80,20.10,86.91,21.71,30.01,5.09,89.45,251.50,46.00,50.00,2.91,11.50,6.90,13.37,80.94,8.30,5.62,12.22,29.62,70295,23.21,15.86,6.55,1.37,5.15,0.07,5.51,79.47,50.19,26.73
Mississippi,2019,Mississippi2019,"50,885.00","10,382.54",24.15,4.84,5.03,11.58,22.19,36.80,4.00,31.90,54.48,13.64,19.97,14.46,52.95,159.11,39.00,41.00,4.76,28.20,9.90,15.82,74.89,14.60,10.66,11.34,36.02,44740,23.64,15.89,37.44,0.62,1.08,0.06,3.35,56.46,51.52,50.65
Missouri,2019,Missouri2019,"85,529.00","8,373.71",18.02,4.16,4.40,8.33,20.77,32.20,6.80,25.80,76.70,19.76,27.43,10.91,69.93,194.30,43.00,45.00,3.20,18.30,9.70,13.78,77.29,11.60,6.83,23.72,33.90,54412,22.47,16.88,11.60,0.57,2.14,0.16,4.30,79.30,50.91,29.56
Montana,2019,Montana2019,"13,077.00","7,232.36",14.73,3.77,3.71,7.49,17.16,25.80,7.30,21.60,75.19,20.94,45.07,10.44,80.15,300.76,42.00,42.00,3.72,16.40,5.95,14.82,78.83,8.10,8.28,11.50,27.90,55248,21.60,18.72,0.53,6.65,0.93,0.08,4.00,85.94,49.65,44.11
Nebraska,2019,Nebraska2019,"19,920.00","6,093.03",14.44,3.23,3.53,6.99,15.39,32.20,8.00,23.30,83.55,21.73,34.00,9.60,75.36,265.23,48.00,50.00,2.79,12.90,7.50,12.78,79.61,9.40,5.65,7.12,29.60,59724,24.72,15.74,4.82,1.49,2.71,0.12,11.19,78.56,50.06,26.87
Nevada,2019,Nevada2019,"38,133.00","7,269.93",19.85,3.92,3.53,8.44,17.59,25.70,7.90,23.10,92.98,19.30,29.43,13.11,56.57,211.18,34.00,37.00,4.56,18.40,6.50,19.56,78.51,10.20,5.36,22.61,37.64,58740,22.71,15.69,9.13,1.68,8.71,0.79,29.04,48.65,49.86,5.80
New Hampshire,2019,New Hampshire2019,"15,688.00","6,529.88",13.11,3.74,4.06,6.86,15.67,27.90,9.00,21.30,88.23,20.73,30.47,7.02,90.78,306.98,50.00,49.00,2.53,10.10,7.45,15.07,79.52,9.30,4.97,34.70,33.13,75322,19.03,18.11,1.41,0.30,2.98,0.05,3.88,89.96,50.44,39.70
New Jersey,2019,New Jersey2019,"91,120.00","5,905.86",17.73,3.66,3.92,8.07,13.74,26.40,9.30,26.00,94.72,18.06,21.91,8.96,84.10,223.67,41.00,49.00,4.15,13.50,9.90,21.66,80.43,9.50,3.65,28.45,38.16,81777,21.93,16.15,12.91,0.61,9.98,0.11,20.65,54.92,51.15,5.32
New Mexico,2019,New Mexico2019,"27,957.00","8,913.53",20.58,4.41,4.46,8.96,17.49,26.60,4.10,19.70,76.87,16.17,30.48,11.00,74.66,391.28,34.00,40.00,4.95,25.30,5.90,17.83,78.07,8.90,14.05,24.42,32.38,47405,23.01,17.48,1.84,10.90,1.78,0.16,49.12,37.11,50.50,22.57
New York,2019,New York2019,"191,428.00","5,456.43",16.61,3.51,3.94,7.95,14.09,25.50,9.10,24.70,93.19,18.81,20.86,6.63,82.06,289.24,42.00,48.00,4.11,18.80,8.50,23.86,81.27,9.80,2.29,19.03,36.71,67648,20.82,16.44,14.50,0.97,8.96,0.14,19.21,55.42,51.45,12.13
North Carolina,2019,North Carolina2019,"134,245.00","7,668.19",18.46,3.92,4.09,9.06,17.19,31.40,6.70,24.30,73.51,16.87,29.46,12.64,70.81,244.28,46.00,51.00,3.90,20.20,9.80,15.59,78.05,11.20,6.74,21.52,33.80,53922,22.16,16.27,21.38,1.57,3.17,0.13,9.61,62.84,51.36,33.91
North Dakota,2019,North Dakota2019,"7,642.00","6,565.42",15.12,3.27,3.48,6.41,18.27,32.70,9.00,23.90,73.98,24.13,43.17,8.58,76.65,187.61,52.00,49.00,2.61,11.00,5.40,11.20,79.88,9.00,7.04,9.46,29.31,65250,23.51,15.35,3.24,5.52,1.77,0.08,3.89,83.96,48.77,40.10
Ohio,2019,Ohio2019,"167,344.00","8,606.38",18.00,3.92,4.60,8.56,21.13,32.30,6.70,26.40,83.93,20.21,32.72,7.09,76.22,244.38,43.00,49.00,4.58,19.20,11.50,14.07,76.93,11.80,6.78,38.38,37.96,56155,22.19,17.07,12.61,0.29,2.46,0.06,3.94,78.67,50.98,22.08
Oklahoma,2019,Oklahoma2019,"60,388.00","9,224.75",20.81,4.51,4.86,8.01,20.15,33.70,5.70,29.30,71.30,14.15,26.35,16.52,61.87,403.64,37.00,48.00,3.39,21.40,9.40,14.18,75.97,12.20,8.62,19.53,34.88,51914,24.26,15.71,7.43,9.31,2.34,0.19,10.88,65.33,50.47,33.76
Oregon,2019,Oregon2019,"46,659.00","5,953.22",16.73,4.23,4.78,6.44,16.09,28.80,7.90,17.20,87.86,18.59,30.94,8.23,94.04,521.61,41.00,43.00,4.15,15.70,7.85,19.39,79.83,9.30,5.38,12.74,30.83,63168,20.85,17.63,1.96,1.81,4.83,0.45,13.28,75.29,50.43,18.97
Pennsylvania,2019,Pennsylvania2019,"165,530.00","7,572.54",17.53,4.15,4.40,8.21,18.75,30.30,8.20,23.10,84.39,19.21,26.79,6.61,80.85,206.53,45.00,51.00,4.29,16.70,10.60,14.93,78.30,10.60,4.57,37.58,37.86,60891,20.68,18.24,10.84,0.39,3.70,0.08,7.62,76.06,51.01,21.34
Rhode Island,2019,Rhode Island2019,"11,529.00","6,019.60",16.38,3.99,4.63,7.52,14.95,28.10,8.40,24.40,94.93,19.64,36.21,5.44,97.20,409.34,51.00,48.00,4.07,18.00,6.60,18.43,79.92,9.50,4.72,30.35,36.04,63787,19.41,17.24,5.99,1.07,3.63,0.20,15.92,72.02,51.35,9.27
South Carolina,2019,South Carolina2019,"75,507.00","8,737.56",18.23,3.90,4.50,9.57,18.79,32.90,6.30,25.90,68.26,17.35,33.11,13.12,66.75,175.43,46.00,48.00,3.42,22.10,10.20,14.71,77.01,12.80,9.13,19.99,37.45,52449,21.75,17.70,26.62,0.54,1.77,0.10,5.82,63.70,51.55,33.67
South Dakota,2019,South Dakota2019,"9,845.00","7,225.22",13.36,3.47,3.21,6.48,19.28,31.80,6.50,21.30,73.53,18.98,36.74,10.76,75.66,181.47,49.00,47.00,3.02,16.10,5.60,11.88,79.05,9.90,10.55,7.60,26.12,57041,24.67,16.65,2.29,9.00,1.71,0.08,4.13,81.43,49.50,43.35
Tennessee,2019,Tennessee2019,"106,691.00","9,284.82",19.65,4.23,4.37,9.17,22.64,33.20,6.40,27.20,70.18,14.27,25.14,11.29,71.65,151.85,41.00,49.00,3.49,21.80,10.00,14.66,75.99,12.80,8.46,25.97,36.44,52366,22.25,16.39,16.74,0.47,1.90,0.10,5.62,73.70,51.21,33.61
Texas,2019,Texas2019,"297,317.00","6,650.62",20.81,3.72,3.81,8.33,15.71,30.10,6.00,24.40,80.54,19.52,26.89,19.39,60.91,113.84,37.00,44.00,3.86,21.10,8.75,17.67,79.09,10.00,8.67,10.40,32.70,60632,25.78,12.55,11.99,1.01,5.18,0.15,39.61,41.51,50.32,15.30
Utah,2019,Utah2019,"24,654.00","6,031.69",13.89,3.50,3.74,7.06,8.88,25.90,7.80,18.10,85.68,12.22,22.48,10.05,57.90,333.52,39.00,46.00,3.12,9.70,5.60,14.17,79.88,7.10,5.81,20.50,29.94,71381,29.50,11.09,1.15,1.54,2.70,1.06,14.24,78.01,49.63,9.42
Vermont,2019,Vermont2019,"7,277.00","6,292.00",13.05,3.60,4.47,6.73,15.81,26.30,8.60,19.10,75.83,19.48,34.67,5.52,112.88,457.45,47.00,48.00,2.67,12.20,6.50,16.96,79.68,8.40,3.29,21.98,29.76,60917,18.52,19.35,1.30,0.39,2.01,0.04,2.00,92.54,50.62,61.10
Virginia,2019,Virginia2019,"94,324.00","6,410.58",15.81,3.50,3.83,8.07,16.38,29.80,8.90,22.90,82.36,17.40,30.16,10.16,75.80,174.89,44.00,50.00,2.97,13.80,8.90,14.93,79.48,10.50,4.28,17.17,36.28,72600,21.95,15.44,19.11,0.54,6.92,0.12,9.64,61.45,50.80,24.55
Washington,2019,Washington2019,"74,525.00","5,593.51",15.56,3.88,4.12,6.44,13.49,27.80,8.10,17.00,86.21,17.43,32.05,7.09,84.50,372.70,39.00,46.00,4.50,12.60,7.40,17.30,80.41,8.80,5.54,15.45,31.45,74023,22.07,15.45,3.92,1.92,9.34,0.78,12.88,68.01,49.97,15.95
West Virginia,2019,West Virginia2019,"34,459.00","10,754.52",23.90,5.34,5.46,9.40,26.01,36.70,6.70,28.90,59.38,12.25,27.36,7.51,77.70,130.36,39.00,41.00,5.26,23.20,9.60,11.37,74.80,14.90,6.55,49.77,39.91,44038,20.17,19.93,3.51,0.25,0.85,0.03,1.67,92.05,50.47,51.28
Wisconsin,2019,Wisconsin2019,"63,747.00","6,365.52",16.72,3.88,3.99,7.35,16.02,31.30,8.80,20.80,85.24,24.20,36.22,6.42,78.72,203.35,50.00,52.00,3.00,14.10,8.60,14.42,79.45,9.30,4.78,19.15,32.32,60779,21.95,16.95,6.38,1.16,3.03,0.06,6.95,81.07,50.25,29.85
Wyoming,2019,Wyoming2019,"6,956.00","7,103.82",14.98,3.52,3.79,8.77,18.72,28.90,6.80,24.10,76.48,19.77,34.17,14.15,67.84,335.27,36.00,42.00,4.06,13.10,4.80,11.82,79.05,8.70,8.69,13.43,31.47,62259,23.33,16.51,1.14,2.75,1.08,0.10,10.08,83.82,49.02,35.24
Alabama,2018,Alabama2018,,"729,762.98",22.97,4.72,4.71,10.57,20.64,37.41,6.79,30.48,46.03,14.43,31.05,11.47,46.28,56.42,40.49,38.96,5.04,29.11,11.09,14.57,74.62,15.58,7.36,15.29,38.66,42404,21.94,18.18,28.40,0.83,0.81,0.12,3.76,64.90,51.32,67.09
Alaska,2018,Alaska2018,,"191,086.16",17.49,4.07,3.64,5.68,22.55,32.71,6.25,20.88,71.46,20.78,47.12,20.65,90.95,386.87,31.19,24.18,9.34,19.11,,27.41,77.91,8.22,18.92,20.71,32.08,62985,23.86,12.69,1.77,32.27,6.38,0.64,5.38,47.73,45.97,70.36
Arizona,2018,Arizona2018,,"137,293.70",20.30,4.53,4.26,7.22,16.72,29.27,6.23,23.30,67.19,15.83,27.29,13.29,50.65,93.69,35.00,36.00,6.78,27.04,6.91,19.75,78.62,11.68,17.29,21.62,32.28,47106,22.98,20.71,1.89,15.08,1.54,0.20,31.29,50.31,49.67,34.11
Arkansas,2018,Arkansas2018,,"798,406.68",23.17,4.90,4.92,8.98,20.91,36.47,6.45,33.96,51.85,13.84,25.61,9.67,46.96,143.75,33.36,39.27,4.25,28.11,10.02,14.00,74.83,14.55,10.93,17.41,34.73,40721,22.40,19.39,16.04,0.91,0.86,0.14,5.51,75.19,50.51,64.87
California,2018,California2018,,"365,391.60",16.65,3.70,3.80,6.56,12.53,24.17,7.80,18.39,82.06,18.67,32.31,7.72,69.26,333.17,37.12,38.31,6.02,19.41,10.14,23.48,80.11,8.80,6.21,16.49,31.93,64209,22.05,17.46,3.01,3.15,7.88,0.40,30.71,53.94,49.51,28.70
Colorado,2018,Colorado2018,,"346,424.38",14.08,3.39,3.54,9.62,14.93,21.68,7.94,16.18,76.45,18.65,30.70,10.43,70.35,209.38,35.48,38.92,2.83,18.15,5.36,16.24,80.77,6.92,8.81,20.94,26.93,57334,20.38,18.79,1.62,2.13,1.39,0.13,19.88,74.51,48.08,58.68
Connecticut,2018,Connecticut2018,,"45,561.29",11.33,3.01,3.54,7.37,12.76,26.45,8.35,19.23,89.69,19.55,32.76,5.03,71.95,334.02,47.38,52.13,4.53,11.45,8.20,16.86,80.65,8.63,4.90,28.04,31.91,74721,19.68,17.33,6.74,0.53,3.98,0.10,12.07,75.21,50.77,24.17
Delaware,2018,Delaware2018,,"23,392.41",15.96,3.38,3.69,8.55,17.50,31.67,8.23,26.83,76.48,17.07,34.00,7.41,63.53,211.54,48.00,52.67,4.68,19.00,9.50,15.61,78.34,12.20,4.62,27.37,35.16,61692,21.17,19.48,20.53,0.76,3.18,0.11,8.84,64.70,51.65,24.29
District of Columbia,2018,District of Columbia2018,,"8,132.37",13.03,3.01,3.54,9.99,16.69,23.10,8.40,16.90,99.92,28.00,32.26,4.08,117.74,451.46,33.00,36.00,6.05,26.20,9.70,21.23,78.42,8.20,0.79,34.39,36.20,80153,17.94,12.07,45.54,0.60,4.29,0.14,11.03,36.80,52.56,0.00
Florida,2018,Florida2018,,"570,640.43",19.28,4.29,4.12,8.53,18.00,30.65,7.08,29.25,68.87,18.10,29.12,15.29,51.28,105.47,40.60,37.72,4.34,24.52,8.39,17.41,78.14,12.57,9.35,19.82,35.48,49016,19.49,21.66,14.18,0.74,1.78,0.11,14.28,67.62,48.78,37.50
Georgia,2018,Georgia2018,,"1,469,205.14",20.09,4.21,4.01,10.01,19.84,32.02,7.05,27.54,55.19,14.97,23.53,16.03,46.72,72.80,39.55,40.29,5.33,28.72,10.74,16.52,76.09,13.62,7.66,16.48,37.04,45690,22.66,17.09,27.91,0.54,1.44,0.12,6.72,62.20,50.36,60.49
Hawaii,2018,Hawaii2018,,"24,737.72",13.43,3.21,3.21,7.99,13.08,22.82,7.70,19.36,89.47,19.56,37.20,4.75,66.76,177.49,37.50,37.50,2.49,13.90,,25.41,81.83,10.16,7.49,12.41,39.28,72186,17.40,22.54,0.88,0.38,26.82,18.10,9.22,26.83,50.61,33.26
Idaho,2018,Idaho2018,,"275,699.28",16.51,3.87,3.90,6.83,15.13,28.88,7.27,21.31,67.68,15.89,28.63,13.97,52.94,115.91,35.23,33.91,3.63,17.91,7.63,15.77,79.24,9.07,11.79,17.07,29.28,50080,25.03,18.60,0.47,2.13,0.89,0.18,13.05,82.29,49.21,61.47
Illinois,2018,Illinois2018,,"758,101.45",15.57,3.88,3.66,7.68,16.29,29.95,8.03,24.02,66.56,20.53,31.88,5.95,48.57,152.19,42.60,41.28,4.99,18.88,11.49,11.79,77.96,10.11,6.65,19.21,30.73,54946,21.59,18.94,5.21,0.40,1.32,0.05,5.12,86.77,49.83,51.09
Indiana,2018,Indiana2018,,"772,757.49",16.49,3.85,4.06,7.58,19.75,33.60,8.01,27.10,63.10,17.55,20.85,9.70,49.95,91.42,39.21,45.73,3.55,17.12,11.80,11.93,76.95,12.31,5.00,25.01,34.08,54123,22.97,17.32,2.79,0.39,1.15,0.05,4.14,90.33,50.13,54.45
Iowa,2018,Iowa2018,,"637,695.08",12.97,2.99,3.24,6.31,15.04,33.83,8.21,24.98,74.52,20.04,28.78,5.34,54.88,90.24,47.41,46.13,3.11,13.73,9.12,10.49,79.30,10.38,5.79,11.96,27.40,55570,22.91,19.74,1.52,0.52,1.29,0.11,4.89,90.77,49.99,61.32
Kansas,2018,Kansas2018,,"599,836.62",14.87,3.18,3.29,6.66,16.11,34.79,7.53,27.44,61.65,15.73,25.91,11.24,60.80,118.72,40.79,36.53,3.37,16.92,8.21,11.08,77.78,10.93,11.17,13.46,29.50,50154,23.66,19.82,1.92,1.29,1.05,0.09,10.21,84.03,49.73,66.89
Kentucky,2018,Kentucky2018,,"1,288,757.24",22.07,4.89,4.57,8.96,22.64,35.54,7.45,30.63,56.11,14.12,27.90,6.48,44.71,141.51,35.32,39.54,5.95,27.02,10.63,13.61,74.40,14.16,4.77,32.04,38.69,43484,22.50,17.41,3.68,0.32,0.63,0.06,2.52,91.51,50.28,71.65
Louisiana,2018,Louisiana2018,,"651,924.15",21.18,4.27,4.38,11.02,21.16,36.73,6.75,30.68,55.71,17.47,33.09,12.04,43.55,226.60,37.44,37.39,5.88,30.42,9.35,13.86,75.35,13.10,9.86,21.00,37.30,43815,23.55,15.92,31.67,0.89,0.97,0.06,3.71,61.49,49.93,51.09
Maine,2018,Maine2018,,"117,919.41",13.51,3.59,4.02,7.05,17.43,30.11,7.86,21.31,62.28,18.84,37.13,11.21,97.62,372.22,46.63,42.25,3.64,17.02,7.31,15.55,78.17,10.12,3.50,23.63,31.89,51065,18.56,21.66,1.03,0.91,0.92,0.04,1.52,94.12,50.85,74.19
Maryland,2018,Maryland2018,,"183,926.72",14.07,3.24,3.69,8.27,14.94,32.76,8.45,23.46,79.38,16.81,33.51,6.75,68.61,207.44,41.63,47.88,4.61,15.09,9.80,16.14,78.50,11.81,4.41,31.61,34.11,73003,21.36,17.27,20.38,0.46,3.63,0.10,6.24,67.29,50.93,34.60
Massachusetts,2018,Massachusetts2018,,"83,865.17",13.16,3.47,4.10,7.09,14.66,24.34,8.64,19.49,91.20,21.17,26.17,3.18,93.62,595.68,52.36,50.79,4.01,13.39,7.45,18.81,80.33,9.54,4.66,29.21,32.58,73367,19.12,18.17,6.18,0.54,4.40,0.09,10.02,77.32,51.43,16.75
Michigan,2018,Michigan2018,,"605,924.74",15.82,4.12,4.19,7.31,18.63,32.86,7.85,23.12,75.96,20.05,32.78,7.22,60.51,168.65,44.27,39.93,5.99,20.51,8.94,14.24,78.13,11.76,6.07,20.30,34.97,49656,19.90,21.22,3.95,1.76,1.14,0.04,3.60,87.80,49.61,61.64
Minnesota,2018,Minnesota2018,,"496,738.76",12.31,3.02,3.04,6.04,15.04,30.73,8.39,21.83,70.50,21.93,31.92,5.50,69.54,129.20,47.57,43.82,4.11,13.15,7.07,12.22,80.31,9.36,7.27,12.46,29.08,59002,23.02,19.33,1.78,2.35,1.63,0.08,4.61,88.23,49.74,61.34
Mississippi,2018,Mississippi2018,,"927,263.58",23.52,4.32,4.26,12.16,20.70,37.97,5.90,32.89,42.75,12.69,21.42,15.04,39.94,98.85,36.49,36.26,5.99,32.62,9.88,16.03,74.04,15.12,10.86,14.98,35.44,38667,23.43,16.71,41.14,0.73,0.63,0.05,2.66,53.98,51.17,70.63
Missouri,2018,Missouri2018,,"989,628.19",19.34,4.64,4.48,7.83,21.73,33.32,7.30,28.29,55.00,16.99,27.05,12.76,45.25,99.07,39.54,37.48,4.16,23.44,9.88,13.19,76.66,12.79,8.46,20.50,32.95,45157,22.57,19.19,3.66,0.67,0.81,0.13,3.03,90.18,50.06,66.80
Montana,2018,Montana2018,,"330,889.64",14.58,3.57,3.45,7.60,17.24,27.57,6.98,22.65,52.71,20.06,42.64,11.57,52.98,167.07,38.59,33.77,4.23,19.20,6.22,13.39,78.41,9.22,16.02,13.74,27.25,48109,21.59,21.62,0.39,8.36,0.54,0.06,3.10,85.82,49.09,75.12
Nebraska,2018,Nebraska2018,,"367,771.23",13.55,3.02,3.08,6.41,15.86,33.43,7.50,26.67,52.58,19.62,36.49,10.71,56.87,100.01,42.27,35.03,2.89,16.54,7.19,10.26,79.43,10.10,12.89,7.49,27.80,52464,23.10,21.47,0.91,1.87,0.68,0.08,7.05,88.80,49.71,74.65
Nevada,2018,Nevada2018,,"114,788.78",16.92,4.08,4.28,8.02,17.63,29.16,7.16,22.21,53.07,19.57,30.86,12.63,45.77,134.07,27.88,30.94,4.64,17.16,6.45,14.38,78.90,10.15,15.20,25.36,34.22,59203,20.72,20.50,2.72,4.50,2.48,0.34,18.54,70.25,47.29,49.50
New Hampshire,2018,New Hampshire2018,,"67,838.99",12.70,3.45,3.93,7.01,15.25,28.42,8.64,20.81,83.79,19.00,31.76,7.94,94.46,290.25,47.70,45.40,2.61,12.26,7.33,15.63,79.17,9.72,4.33,30.41,31.35,65589,18.33,19.72,0.96,0.33,2.04,0.03,2.51,92.77,50.31,55.37
New Jersey,2018,New Jersey2018,,"132,812.72",15.75,3.56,3.64,7.97,14.62,27.10,8.50,23.76,92.88,17.84,22.27,8.60,77.73,190.93,40.90,48.14,4.97,13.81,9.92,21.12,79.94,9.31,4.50,25.31,37.91,79707,21.63,16.47,11.56,0.58,7.65,0.11,17.63,61.55,51.04,12.76
New Mexico,2018,New Mexico2018,,"303,792.23",21.68,4.46,4.12,9.28,16.28,26.18,6.18,20.67,68.53,15.46,30.54,11.04,55.15,433.67,31.12,34.06,6.56,30.64,5.97,15.80,77.55,9.78,18.38,25.85,31.47,42274,22.05,20.85,1.33,9.11,1.14,0.14,48.04,41.08,49.46,48.42
New York,2018,New York2018,,"389,127.77",15.27,3.76,3.90,7.22,17.75,30.50,8.35,24.88,78.65,20.26,22.51,5.86,61.79,199.31,45.19,48.31,5.24,19.35,8.62,17.16,79.59,10.64,4.32,18.01,35.06,58872,20.13,18.07,5.99,0.73,3.13,0.07,7.95,80.84,50.16,44.29
North Carolina,2018,North Carolina2018,,"871,770.59",18.71,3.93,4.21,9.28,18.76,31.98,7.32,25.82,64.72,16.05,27.35,13.48,53.40,161.06,44.07,47.54,5.02,25.35,9.68,16.03,77.09,12.36,5.73,21.77,33.66,47203,20.90,19.46,20.21,2.01,1.39,0.11,7.46,67.76,50.88,61.20
North Dakota,2018,North Dakota2018,,"247,450.06",13.54,2.94,2.82,6.46,17.15,33.14,8.39,25.56,56.66,22.03,47.18,9.35,56.89,120.79,47.15,38.96,2.92,14.22,5.44,9.08,79.45,9.92,11.90,11.09,28.02,57319,22.96,20.62,1.00,6.94,0.79,0.05,3.12,86.94,48.69,82.56
Ohio,2018,Ohio2018,,"749,332.45",16.55,3.86,4.03,7.70,20.26,33.63,7.70,27.02,68.38,17.88,30.81,6.89,50.79,144.13,40.06,45.92,5.26,18.82,11.49,12.83,76.93,12.54,6.04,31.21,37.04,53756,22.47,17.82,4.23,0.31,1.09,0.05,2.77,89.99,50.31,48.22
Oklahoma,2018,Oklahoma2018,,"776,096.32",19.78,4.53,4.63,7.80,18.56,35.35,6.93,31.35,52.86,12.96,24.25,17.41,40.03,301.05,32.30,42.88,4.48,23.91,9.11,12.21,75.18,13.33,11.26,23.19,33.50,45381,23.97,17.95,3.55,11.56,0.93,0.16,9.27,70.22,49.83,63.64
Oregon,2018,Oregon2018,,"233,531.21",15.22,3.84,4.30,6.59,15.88,30.64,7.33,18.12,79.12,18.18,31.91,8.27,70.99,383.68,38.50,36.08,4.80,20.50,7.68,18.46,78.89,10.81,10.42,13.36,30.17,52247,20.72,21.47,0.82,2.58,1.92,0.31,12.13,80.28,49.89,44.37
Pennsylvania,2018,Pennsylvania2018,,"512,014.41",14.28,3.62,4.02,7.56,16.15,31.78,8.12,23.96,73.24,20.04,28.06,6.86,67.50,132.52,43.97,47.12,5.25,18.10,10.46,13.17,78.10,11.51,4.81,29.90,34.86,54338,19.84,19.76,4.47,0.30,1.61,0.05,4.49,87.98,49.94,47.43
Rhode Island,2018,Rhode Island2018,,"27,758.18",12.18,3.54,3.91,6.64,14.59,25.72,8.10,20.70,93.74,20.49,34.40,4.07,108.45,310.01,52.20,48.60,4.13,12.94,6.76,17.39,80.39,9.02,6.76,26.01,33.43,71402,18.51,18.78,3.28,0.71,2.67,0.11,8.01,83.72,51.34,11.51
South Carolina,2018,South Carolina2018,,"463,215.81",20.28,4.35,4.54,10.45,18.61,35.84,7.10,28.00,57.56,16.37,35.10,12.56,49.52,115.96,44.17,40.15,4.96,28.39,10.20,14.82,75.72,14.60,7.91,16.80,37.21,44505,21.49,18.85,35.39,0.66,1.04,0.10,4.71,56.94,51.14,54.98
South Dakota,2018,South Dakota2018,,"453,076.88",13.80,3.35,3.05,6.17,17.43,32.79,6.84,22.01,51.10,18.28,33.14,12.03,56.28,135.86,46.48,35.20,3.88,21.08,5.89,12.08,77.75,10.39,18.90,9.42,26.18,50095,25.15,19.15,0.78,14.33,0.77,0.06,3.13,79.76,49.35,78.15
Tennessee,2018,Tennessee2018,,"975,351.99",20.39,4.84,4.78,8.87,22.15,33.37,7.65,29.81,53.81,13.74,28.52,11.19,45.97,71.77,38.56,45.57,4.32,24.09,10.03,13.66,74.92,13.97,5.85,25.22,35.72,45429,21.42,18.82,7.35,0.49,0.80,0.07,3.69,86.31,50.36,66.44
Texas,2018,Texas2018,,"1,867,991.90",19.78,3.81,3.64,8.10,15.65,30.07,6.98,25.31,57.01,17.89,24.04,20.23,40.72,53.46,32.88,34.98,4.47,24.41,8.68,14.17,77.40,10.84,11.68,11.46,31.77,49347,24.22,17.82,6.23,1.23,1.28,0.09,34.97,55.88,49.18,55.52
