State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Kansas,2020,Kansas2020,"35,107.00","7,078.55",16.28,3.62,4.05,7.16,17.94,33.00,6.70,23.90,80.12,18.21,19.85,10.10,78.28,204.58,45.00,49.00,3.17,14.30,6.70,12.95,78.45,10.50,8.27,12.37,34.03,62028,24.04,16.32,5.74,1.20,3.19,0.13,12.22,75.41,50.17,25.80
Kentucky,2020,Kentucky2020,"74,341.00","9,505.08",21.84,4.58,5.05,8.81,24.11,34.60,6.90,28.70,71.09,17.16,25.46,6.68,64.79,240.24,40.00,46.00,4.29,20.90,8.70,13.67,75.63,12.70,5.58,31.82,42.12,52256,22.45,16.80,8.23,0.30,1.60,0.09,3.91,84.15,50.73,41.62
Louisiana,2020,Louisiana2020,"72,099.00","9,516.02",21.42,4.32,5.01,10.70,21.09,36.30,5.20,28.00,75.03,19.72,32.33,9.29,68.22,304.16,42.00,44.00,4.83,26.40,8.70,15.85,76.14,13.00,9.53,25.12,38.05,51108,23.40,15.94,32.29,0.79,1.81,0.06,5.31,58.41,51.23,26.81
Maine,2020,Maine2020,"18,350.00","7,020.76",17.07,4.19,5.00,7.19,19.40,29.80,8.00,20.80,69.97,21.98,35.38,10.23,111.18,494.94,46.00,46.00,3.03,13.80,6.60,14.34,78.69,10.40,3.83,28.37,34.54,58824,18.51,21.22,1.60,0.73,1.30,0.03,1.76,92.96,51.04,61.34
Maryland,2020,Maryland2020,"70,898.00","7,197.71",15.17,3.37,3.71,8.66,12.61,31.60,8.70,21.90,92.57,15.41,28.79,6.94,88.57,274.87,42.00,52.00,3.58,12.30,8.00,16.18,79.22,11.10,3.39,38.26,37.68,86644,22.08,15.87,29.94,0.61,6.72,0.11,10.65,50.05,51.55,12.80
Massachusetts,2020,Massachusetts2020,"68,473.00","5,609.69",13.52,3.50,4.29,7.54,13.69,25.00,9.20,20.00,94.47,23.55,30.25,3.28,103.34,654.04,54.00,55.00,2.90,12.00,5.95,17.49,80.62,8.70,4.09,32.05,34.33,85700,19.63,16.97,7.34,0.50,7.22,0.11,12.40,71.06,51.46,8.03
Michigan,2020,Michigan2020,"132,221.00","7,535.14",18.34,4.31,4.71,8.51,20.12,32.40,7.00,23.10,85.50,20.92,29.29,6.50,78.98,281.35,44.00,47.00,4.08,17.50,7.10,14.69,78.14,11.00,6.29,25.61,40.36,59522,21.47,17.68,13.77,0.74,3.37,0.04,5.29,74.74,50.75,25.43
Minnesota,2020,Minnesota2020,"52,125.00","5,314.26",12.89,3.14,3.54,6.63,15.52,29.00,8.90,19.60,86.91,23.19,29.75,5.14,89.50,267.18,45.00,50.00,3.23,11.00,6.30,13.19,80.92,8.50,5.62,12.84,29.13,74529,23.11,16.32,6.78,1.37,5.19,0.07,5.59,79.09,50.18,26.73
Mississippi,2020,Mississippi2020,"51,569.00","10,442.03",22.06,4.45,4.81,11.68,20.96,39.10,4.10,30.40,54.48,14.75,19.61,14.44,52.90,169.11,39.00,43.00,5.42,27.60,8.70,15.40,74.88,14.60,10.66,11.83,37.76,45928,23.47,16.35,37.42,0.63,1.11,0.06,3.36,56.39,51.54,50.65
Missouri,2020,Missouri2020,"87,080.00","8,421.91",19.46,4.25,4.53,8.49,20.08,32.50,7.00,25.50,76.70,20.50,27.08,11.36,70.33,203.70,44.00,47.00,3.29,17.00,8.10,13.34,77.30,11.40,6.83,24.81,35.22,57375,22.33,17.30,11.60,0.58,2.17,0.16,4.38,79.15,50.91,29.56
Montana,2020,Montana2020,"13,221.00","7,120.62",14.06,3.63,3.87,7.48,18.92,27.10,7.40,21.70,75.19,21.85,44.82,10.24,80.67,316.72,43.00,43.00,3.48,15.40,5.10,14.70,78.91,8.90,8.28,12.16,30.93,57248,21.39,19.32,0.54,6.65,0.92,0.09,4.05,85.87,49.66,44.11
Nebraska,2020,Nebraska2020,"20,347.00","6,148.51",13.79,3.21,3.65,7.11,16.57,33.40,7.60,22.70,83.55,23.73,32.74,9.45,76.35,276.31,48.00,50.00,3.05,11.50,5.70,12.63,79.57,10.00,5.65,7.80,32.29,63290,24.61,16.15,4.90,1.51,2.75,0.12,11.35,78.22,50.04,26.87
Nevada,2020,Nevada2020,"38,634.00","7,136.06",19.10,4.23,4.04,8.55,15.72,27.10,7.60,22.50,92.98,17.94,29.06,12.94,58.40,219.18,34.00,38.00,3.89,17.60,5.40,18.79,78.67,10.50,5.36,22.07,37.26,63268,22.49,16.10,9.30,1.69,8.71,0.80,29.24,48.18,49.85,5.80
New Hampshire,2020,New Hampshire2020,"15,889.00","6,373.75",12.84,3.55,4.63,6.74,16.62,28.60,8.80,20.80,88.23,20.21,31.50,7.07,90.90,321.83,49.00,52.00,2.54,8.10,5.70,14.49,79.69,9.60,4.97,32.67,35.28,78571,18.77,18.67,1.47,0.30,2.96,0.05,4.01,89.76,50.45,39.70
New Jersey,2020,New Jersey2020,"91,585.00","5,914.73",15.53,3.73,3.77,8.03,13.22,27.00,9.40,26.60,94.72,15.99,21.89,8.74,84.78,240.85,41.00,52.00,3.56,12.20,8.60,21.20,80.49,9.90,3.65,31.31,37.51,85786,21.83,16.61,12.93,0.62,9.98,0.12,20.91,54.61,51.13,5.32
New Mexico,2020,New Mexico2020,"28,571.00","9,091.96",20.25,4.25,4.48,9.02,15.88,27.30,4.20,19.00,76.87,16.74,29.82,11.51,74.88,403.56,35.00,40.00,4.86,23.50,5.60,17.34,77.98,9.50,14.05,25.94,33.05,52021,22.69,18.01,1.89,10.96,1.79,0.16,49.26,36.85,50.52,22.57
New York,2020,New York2020,"191,195.00","5,406.33",16.25,3.56,3.61,7.96,12.96,26.40,9.00,23.40,93.19,19.17,20.61,6.33,83.75,304.34,42.00,50.00,3.96,18.20,6.60,23.54,81.44,10.10,2.29,19.09,38.91,72038,20.71,16.94,14.46,0.98,9.01,0.14,19.28,55.29,51.43,12.13
North Carolina,2020,North Carolina2020,"135,922.00","7,644.19",17.99,3.60,4.06,9.13,17.94,32.30,6.80,23.30,73.51,17.60,27.61,12.74,71.18,257.21,46.00,52.00,3.87,19.30,8.50,15.12,78.13,11.50,6.74,22.28,36.05,57388,21.94,16.70,21.36,1.58,3.19,0.13,9.78,62.61,51.37,33.91
North Dakota,2020,North Dakota2020,"7,831.00","6,649.91",13.63,3.18,3.80,6.49,19.66,33.90,8.90,23.10,73.98,23.74,42.30,8.05,76.97,196.31,53.00,50.00,2.37,10.90,4.70,11.61,79.72,9.40,7.04,9.66,32.82,67402,23.64,15.73,3.26,5.57,1.69,0.08,4.14,83.66,48.82,40.10
Ohio,2020,Ohio2020,"169,097.00","8,545.49",17.77,4.08,4.78,8.56,21.41,33.50,6.80,26.10,83.93,18.48,32.20,7.73,76.73,261.29,43.00,51.00,4.11,18.10,9.00,13.67,76.98,12.20,6.78,38.08,40.63,58704,22.05,17.51,12.67,0.29,2.49,0.06,4.02,78.44,50.98,22.08
